image,codec,level,bpp,ref_name,base_name,ours_name,num_vote_base,num_vote_ours,psnry_base,psnry_ours,vmaf_base,vmaf_ours,vifp_base,vifp_ours
kodim13,b2018,4,0.7914,kodim13.png,kodim13_b2018_base_4.png,kodim13_b2018_ours_4.png,22,25,29.0406,28.9077,73.4987,77.3156,0.8388,0.8662
kodim14,b2017,1,0.0658,kodim14.png,kodim14_b2017_base_1.png,kodim14_b2017_ours_1.png,24,23,24.6376,24.7812,21.7046,25.3389,0.4421,0.4486
kodim14,b2017,2,0.1299,kodim14.png,kodim14_b2017_base_2.png,kodim14_b2017_ours_2.png,6,41,25.7964,26.2475,36.7653,45.3816,0.5528,0.5934
kodim14,b2017,3,0.3837,kodim14.png,kodim14_b2017_base_3.png,kodim14_b2017_ours_3.png,20,27,29.4467,29.4959,67.4374,70.6901,0.8023,0.8174
kodim14,b2017,4,0.5467,kodim14.png,kodim14_b2017_base_4.png,kodim14_b2017_ours_4.png,24,23,31.0466,31.0500,76.7395,79.4405,0.8683,0.8863
kodim14,b2018,1,0.0761,kodim14.png,kodim14_b2018_base_1.png,kodim14_b2018_ours_1.png,28,19,25.4790,25.2424,38.3404,38.4033,0.5080,0.4808
kodim14,b2018,2,0.0969,kodim14.png,kodim14_b2018_base_2.png,kodim14_b2018_ours_2.png,29,18,26.1793,25.7990,46.1331,46.2438,0.5686,0.5401
kodim14,b2018,3,0.2687,kodim14.png,kodim14_b2018_base_3.png,kodim14_b2018_ours_3.png,17,30,28.9186,29.0375,66.7108,72.8435,0.7522,0.7896
kodim14,b2018,4,0.3782,kodim14.png,kodim14_b2018_base_4.png,kodim14_b2018_ours_4.png,21,26,30.3036,30.2227,75.9115,78.6775,0.8190,0.8517
kodim15,b2017,1,0.0446,kodim15.png,kodim15_b2017_base_1.png,kodim15_b2017_ours_1.png,1,46,27.8440,28.4963,34.1698,42.1089,0.4565,0.5185
kodim15,b2017,2,0.1581,kodim15.png,kodim15_b2017_base_2.png,kodim15_b2017_ours_2.png,6,41,31.3531,31.5561,66.2860,68.2319,0.7268,0.7653
kodim15,b2017,3,0.2867,kodim15.png,kodim15_b2017_base_3.png,kodim15_b2017_ours_3.png,7,40,32.9673,33.2443,76.6460,78.5466,0.8229,0.8619
